Type,Country Code,Series Code,Description
Country-Series,Aruba (ABW),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Andorra (ADO),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Afghanistan (AFG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Angola (AGO),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Albania (ALB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,United Arab Emirates (ARE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Argentina (ARG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Armenia (ARM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Antigua and Barbuda (ATG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Australia (AUS),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
Country-Series,Australia (AUS),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Australian Bureau of Statistics
Country-Series,Austria (AUT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Azerbaijan (AZE),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Nagorno-Karabakh.
Country-Series,Azerbaijan (AZE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : State Statistical Committee, Eurostat, United Nations World Population Prospects"
Country-Series,Burundi (BDI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Belgium (BEL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Benin (BEN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Burkina Faso (BFA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bangladesh (BGD),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bulgaria (BGR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Bahrain (BHR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,"Bahamas, The (BHS)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bosnia and Herzegovina (BIH),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Belarus (BLR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Center for Demography and Human Ecology, United Nations World Population Prospects"
Country-Series,Belize (BLZ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bermuda (BMU),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
Country-Series,Bolivia (BOL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Brazil (BRA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Barbados (BRB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Brunei Darussalam (BRN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bhutan (BTN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Botswana (BWA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Central African Republic (CAF),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Canada (CAN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Statistics Canada, United Nations World Population Prospects"
Country-Series,Switzerland (CHE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Channel Islands (CHI),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","Refers to Guernsey, and Jersey."
Country-Series,Channel Islands (CHI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Chile (CHL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,China (CHN),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","The data for China do not include Hong Kong SAR, China; Macao SAR, China; and Taiwan, China."
Country-Series,China (CHN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Côte d'Ivoire (CIV),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Cameroon (CMR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,"Congo, Rep. (COG)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Colombia (COL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : United Nations World Population Prospects, DHS 2010"
Country-Series,Comoros (COM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Cabo Verde (CPV),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Costa Rica (CRI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Cuba (CUB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Curaçao (CUW),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Central bureau of Statistics
Country-Series,Cyprus (CYP),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Northern-Cyprus.
Country-Series,Cyprus (CYP),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Czech Republic (CZE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Germany (DEU),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Djibouti (DJI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Dominica (DMA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations Population and Vital Statistics Report
Country-Series,Denmark (DNK),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Dominican Republic (DOM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Algeria (DZA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Ecuador (ECU),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,"Egypt, Arab Rep. (EGY)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Eritrea (ERI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Spain (ESP),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","Including Canary Islands, Ceuta and Melilla."
Country-Series,Spain (ESP),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Estonia (EST),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Statistical Office of Estonia"
Country-Series,Ethiopia (ETH),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Finland (FIN),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Åland Islands.
Country-Series,Finland (FIN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Fiji (FJI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,France (FRA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources and note : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion."
Country-Series,"Micronesia, Fed. Sts. (FSM)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Gabon (GAB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,United Kingdom (GBR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Georgia (GEO),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Abkhazia and South Ossetia.
Country-Series,Georgia (GEO),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources and note : United Nations World Population Prospects. Including Abkhazia and South Ossetia.
Country-Series,Ghana (GHA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Guinea (GIN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,"Gambia, The (GMB)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Guinea-Bissau (GNB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Equatorial Guinea (GNQ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Greece (GRC),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Grenada (GRD),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Greenland (GRL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Statistics Greenland, United Nations Population and Vital Statistics Report"
Country-Series,Guatemala (GTM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Guam (GUM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Guyana (GUY),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,"Hong Kong SAR, China (HKG)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Census and Statistics Department, United Nations World Population Prospects"
Country-Series,Honduras (HND),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Croatia (HRV),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Croatian Bureau of Statistics, Eurostat, United Nations World Population Prospects"
Country-Series,Haiti (HTI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Hungary (HUN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Indonesia (IDN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Isle of Man (IMY),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : CIA World Fact book
Country-Series,India (IND),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Ireland (IRL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,"Iran, Islamic Rep. (IRN)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Iraq (IRQ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Iceland (ISL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Israel (ISR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Central Bureau of Statistics
Country-Series,Italy (ITA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Jamaica (JAM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Jordan (JOR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Japan (JPN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Ministry of Internal Affairs and Communications, Statistics Bureau"
Country-Series,Kazakhstan (KAZ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Statistical Agency of Kazakhstan, TransMONEE, United Nations World Population Prospects"
Country-Series,Kenya (KEN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Kyrgyz Republic (KGZ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : TransMONEE, United Nations World Population Prospects"
Country-Series,Cambodia (KHM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Kiribati (KIR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,St. Kitts and Nevis (KNA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations Population and Vital Statistics Report
Country-Series,"Korea, Rep. (KOR)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Korean Statistical Information Service, United Nations World Population Prospects"
Country-Series,Kosovo (KSV),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : U.S. Census Bureau
Country-Series,Kuwait (KWT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
